Date,Open,High,Low,Close,Volume
19-Aug-16,175.26,178.88,174.86,177.53,2906705
18-Aug-16,173.03,175.8,172.68,175.4,2535554
17-Aug-16,173.98,174,172.01,172.73,2426920
16-Aug-16,173,174.42,170.9,173.3,2642183
15-Aug-16,169.22,174.96,169,172.95,3448610
12-Aug-16,167.57,168.54,166.32,167.98,1840959
11-Aug-16,168.13,168.75,166.51,167.72,1551320
10-Aug-16,166.46,167.45,165,165.63,1449334
9-Aug-16,165.9,166.56,164.68,165.54,1298642
8-Aug-16,167.15,169.49,165.73,166.45,1769609
5-Aug-16,163.5,168.24,163.2,167.38,2991534
4-Aug-16,162.72,164.16,161.34,162.56,1748307
3-Aug-16,161.12,163.2,160.13,162.24,1740717
2-Aug-16,162.16,164.5,160.33,160.75,1850839
1-Aug-16,159.8,164.11,158.62,163.23,4264042
29-Jul-16,161.01,161.55,156.23,159.6,7858345
28-Jul-16,166.9,167.86,165.15,165.63,3594349
27-Jul-16,164,165.67,162.82,165.5,2036274
26-Jul-16,159.89,164.79,159.46,164.03,2697497
25-Jul-16,159.3,160.37,157.54,160.25,2921069
22-Jul-16,162.06,162.64,160.45,160.88,1595283
21-Jul-16,161.47,162.87,160.6,161.4,2357963
20-Jul-16,161.21,161.79,159.5,160.65,3332684
19-Jul-16,162.9,165.28,159.11,161.19,4350770
18-Jul-16,162.74,165.01,160.75,164.79,2327005
15-Jul-16,164.86,165.26,161.85,162.74,2378125
14-Jul-16,166.65,166.8,163.61,164.85,2079581
13-Jul-16,165.38,166,162.57,164.16,2320792
12-Jul-16,169.89,172.76,163.91,164.98,3557614
11-Jul-16,160.7,167.9,160.7,167.03,4073113
8-Jul-16,159.21,161.05,155.28,159.8,6899544
7-Jul-16,162.5,165.86,161.56,163.42,2013860
6-Jul-16,160.98,161.87,157.88,161.56,2157219
5-Jul-16,164.42,165.5,161,161.87,2364987
1-Jul-16,165.24,166.62,162.9,165.19,1775624
30-Jun-16,165.07,165.26,162.1,165.15,1809348
29-Jun-16,163.1,166.5,162.14,164.41,2468274
28-Jun-16,160.1,162.98,159.56,160.41,2171923
27-Jun-16,158.24,158.55,155.28,156.92,3210622
24-Jun-16,158.87,163.63,158.01,159.12,3182307
23-Jun-16,163.51,164.96,162.55,163.92,2028534
22-Jun-16,162.49,165.52,161,162.22,2778642
21-Jun-16,167.44,168.39,162.72,162.8,3036262
20-Jun-16,165.57,172.29,165.57,166.53,3463900
17-Jun-16,165.42,165.84,161.85,162.68,3220723
16-Jun-16,160.58,166.17,159.5,165.52,4452812
15-Jun-16,161.61,162.18,160.06,161.03,3771047
14-Jun-16,159.26,170.19,159.13,160.84,10154418
13-Jun-16,161.01,164.86,160,163.55,3829940
10-Jun-16,166.58,167.45,164,164.28,2446845
9-Jun-16,168,169.3,166.15,168.99,2262192
8-Jun-16,172.04,172.2,168.46,168.71,2484804
7-Jun-16,175.87,175.87,170.81,170.86,2401216
6-Jun-16,174.73,176.06,173.8,174.62,1873716
3-Jun-16,176.64,177.5,172.33,173.74,2961723
2-Jun-16,177.2,179,174.75,175.64,3210421
1-Jun-16,176.53,177.77,174.26,176.53,4783342
31-May-16,185.15,185.51,176.61,178.54,24063046
27-May-16,178.29,185.28,178.28,185.01,5596294
26-May-16,176.19,177.78,175,177.67,3538585
25-May-16,176.99,178.81,175.21,176.71,3567484
24-May-16,171.55,178.11,169.92,175.91,4626709
23-May-16,170.69,171.5,169.43,169.77,1623560
20-May-16,169.41,171.1,168.33,170.05,2241042
19-May-16,168.75,169.83,164.93,168.51,2409796
18-May-16,169.75,171.53,167.67,169.45,3220715
17-May-16,168.59,172.95,167.65,171.04,5061349
16-May-16,161.92,168.95,161.31,167.96,5488129
13-May-16,160.66,162.71,159.12,159.75,3127002
12-May-16,164.04,164.5,158.38,161.28,4101087
11-May-16,165.88,166.27,161.12,163.05,6146505
10-May-16,170.75,171,165.42,166.21,5434677
9-May-16,165.84,172.36,165.1,169.49,6545692
6-May-16,173.91,176.8,172.11,173.94,3059442
5-May-16,177.64,179.7,174.13,175.22,3554485
4-May-16,172.04,178.15,171.5,177.28,4005462
3-May-16,175.8,176.38,172,174.36,5471374
2-May-16,185.33,185.33,176.5,178.91,10163391
29-Apr-16,189.5,201,189,194.3,6950720
28-Apr-16,187.35,190.33,185.54,186.02,3382069
27-Apr-16,187.52,189.07,184.44,187.95,2246291
26-Apr-16,188.68,190.88,186.37,188.25,1859040
25-Apr-16,190.91,192.41,186.54,188.04,1754916
22-Apr-16,190.03,192.7,188.03,190.76,2007923
21-Apr-16,194.06,195.96,191.75,192.74,1716244
20-Apr-16,193.5,194.76,192.6,193.67,1493598
19-Apr-16,193.44,195.25,190.67,194.52,2120724
18-Apr-16,191.92,193.99,191.26,192.94,1497112
15-Apr-16,195.32,195.41,191.76,193.22,1637857
14-Apr-16,194.98,197.5,192.81,195.72,2031822
13-Apr-16,191,195.6,190.42,193.98,3258214
12-Apr-16,186.03,188.7,185.58,187.4,1713577
11-Apr-16,185.76,187.15,184.76,185.07,1893624
8-Apr-16,184.6,186.3,182.7,183.98,1712770
7-Apr-16,185.74,187.6,181.44,182.53,1821075
6-Apr-16,183.57,187.27,183.02,186.82,1903009
5-Apr-16,187.63,187.89,182.15,183.8,2946791
4-Apr-16,190.39,192.35,187.51,188.97,1740159
