Date,Open,High,Low,Close,Volume
19-Aug-16,42.8,43.12,42.64,43.02,9460753
18-Aug-16,42.69,42.97,42.58,42.9,11294419
17-Aug-16,42.39,42.75,42.39,42.7,8571927
16-Aug-16,42.3,42.79,41.95,42.49,13793794
15-Aug-16,43.18,43.29,42.43,42.67,14441784
12-Aug-16,41.28,42.98,41.28,42.94,25182851
11-Aug-16,41.12,41.73,40.93,41.27,23938864
10-Aug-16,39.34,39.98,39.3,39.93,12981568
9-Aug-16,39.24,39.31,39.1,39.24,5971530
8-Aug-16,39,39.27,38.86,39.24,10131279
5-Aug-16,39,39.15,38.9,38.99,9127094
4-Aug-16,38.47,39.03,38.43,38.92,11000843
3-Aug-16,38.43,38.55,38.28,38.39,5890051
2-Aug-16,38.6,38.67,38.26,38.57,7504721
1-Aug-16,38.18,38.89,38.1,38.8,9605006
29-Jul-16,38.47,38.52,38.08,38.19,13199145
28-Jul-16,38.58,38.64,38.23,38.52,7424404
27-Jul-16,38.66,38.77,38.43,38.66,12148433
26-Jul-16,38.07,38.83,37.9,38.76,15978647
25-Jul-16,39.2,39.21,38.22,38.32,41814378
22-Jul-16,38.9,39.42,38.78,39.38,11325660
21-Jul-16,39.01,39.25,38.72,38.85,7671760
20-Jul-16,38.36,38.93,38.26,38.9,8177973
19-Jul-16,37.77,38.49,37.65,38.17,10393957
18-Jul-16,37.68,37.97,37.5,37.95,16046777
15-Jul-16,38.16,38.18,37.68,37.72,13513375
14-Jul-16,37.85,38.35,37.85,37.96,10713015
13-Jul-16,37.99,38.01,37.46,37.64,9566060
12-Jul-16,38,38.33,37.87,37.89,15224047
11-Jul-16,37.44,38.15,37.37,37.96,20342573
8-Jul-16,37.53,37.84,37.06,37.74,8786614
7-Jul-16,37.57,37.76,37.29,37.52,9031440
6-Jul-16,37.43,37.56,37.13,37.51,8328101
5-Jul-16,37.68,37.77,37.17,37.5,8746735
1-Jul-16,37.56,38.08,37.43,37.99,10602792
30-Jun-16,36.89,37.58,36.89,37.56,15209878
29-Jun-16,36.25,37.08,36.25,36.86,10808162
28-Jun-16,35.58,36.14,35.5,36.04,10990713
27-Jun-16,35.87,36.01,35.05,35.22,14157606
24-Jun-16,36.4,36.95,36.08,36.24,19657828
23-Jun-16,37.64,37.78,37.41,37.78,7710892
22-Jun-16,37.37,37.52,37.17,37.36,6279215
21-Jun-16,37.37,37.55,37.2,37.4,5574603
20-Jun-16,37.27,37.68,37.24,37.29,8957313
17-Jun-16,37.43,37.44,36.81,36.94,12593900
16-Jun-16,37.39,37.45,36.54,37.39,10634046
15-Jun-16,37.43,37.6,37.1,37.32,10213170
14-Jun-16,36.63,37.44,36.63,37.4,13023127
13-Jun-16,36.7,36.91,36.42,36.47,6519751
10-Jun-16,36.97,37.14,36.59,36.83,11216470
9-Jun-16,36.82,37.73,36.71,37.35,14759107
8-Jun-16,36.84,37.3,36.84,36.97,9181896
7-Jun-16,36.9,36.99,36.62,36.73,14757059
6-Jun-16,36.67,37.2,36.52,37.07,8426142
3-Jun-16,37.11,37.11,36.5,36.6,12059105
2-Jun-16,36.66,37.22,36.58,37.15,12179259
1-Jun-16,37.25,37.74,36.56,36.65,22177647
31-May-16,37.73,38.08,37.5,37.94,12873630
27-May-16,36.88,37.88,36.84,37.82,14642533
26-May-16,36.13,36.85,36.07,36.76,16277866
25-May-16,36.63,36.96,35.47,35.59,33984864
24-May-16,36.85,37.63,36.77,37.53,10601318
23-May-16,36.46,36.94,36.43,36.66,7768631
