Store Number,City,Zip Code,County,2015 Total Bottles Sold,2015 Average Margin Ratio,2015 Average Sale (Dollars),2015 Total Sales (Dollars),2015 Total Transactions,2015 Average Volume per Sale (Liters),2015 Total Volume Sold (Liters),2015 DaysOpen,2015 Average Price per Bottle (Dollars),2015 Average Price per Liter (Dollars),2015 Average Margin,2015 Average Sales per Day,Q1_15 Total Bottles Sold,Q1_15 Average Margin Ratio,Q1_15 Average Sale (Dollars),Q1_15 Total Sales (Dollars),Q1_15 Total Transactions,Q1_15 Average Volume per Sale (Liters),Q1_15 Total Volume Sold (Liters),Q1_15 DaysOpen,Q1_15 Average Price per Bottle (Dollars),Q1_15 Average Price per Liter (Dollars),Q1_15 Average Margin,Q1_15 Average Sales per Day,Q1_16 Total Bottles Sold,Q1_16 Average Margin Ratio,Q1_16 Average Sale (Dollars),Q1_16 Total Sales (Dollars),Q1_16 Total Transactions,Q1_16 Average Volume per Sale (Liters),Q1_16 Total Volume Sold (Liters),Q1_16 DaysOpen,Q1_16 Average Price per Bottle (Dollars),Q1_16 Average Price per Liter (Dollars),Q1_16 Average Margin,Q1_16 Average Sales per Day
2106,CEDAR FALLS,50613,Black Hawk,99993,0.333939883189,281.070548804,1434021.94,5102,18.4207604861,93982.72,52,16.1932751862,18.8467309958,93.8022814583,3928.82723288,23316,0.334027954008,278.190206271,337166.53,1212,17.9996287129,21815.55,12,16.4549752475,19.3761775106,92.8717244224,3705.1267033,23605,0.333643549168,274.860903173,337804.05,1229,18.1268917819,22277.95,13,15.7187794955,18.1082575846,91.6704149715,3712.13241758
2113,GOWRIE,50543,Webster,6483,0.334248445184,63.0150036738,85763.42,1361,4.77650991918,6500.83,48,15.9630712711,17.6257038491,21.0824246877,234.968273973,1618,0.334035601878,66.7219701493,22351.86,335,4.78829850746,1604.08,11,15.9477014925,17.7679086709,22.2914925373,245.624835165,1703,0.33384138292,55.3094910941,21736.63,393,4.09178117048,1608.07,13,15.9654707379,17.6301112514,18.4735368957,238.864065934
2130,WATERLOO,50703,Black Hawk,72562,0.333923297941,280.624206128,1108184.99,3949,16.6024006077,65562.88,52,15.4238946569,17.5065986659,93.6124943024,3036.12326027,17707,0.333880202674,298.671462366,277764.46,930,17.3939462366,16176.37,12,15.6030322581,17.6112508961,99.6340752688,3052.3567033,19832,0.333619088454,295.420856593,306942.27,1039,17.4906159769,18172.75,14,15.2432627526,17.0467624547,98.5233782483,3372.99197802
2178,WAUKON,52172,Allamakee,20504,0.33467849239,104.389019902,277987.96,2663,8.15602328201,21719.49,52,15.046965828,16.5944384857,35.0114570034,761.610849315,4279,0.334463735145,100.948831169,54411.42,539,8.11944341373,4376.38,12,14.3852690167,16.0456716066,33.8007606679,597.927692308,4539,0.334043425143,98.3971619366,58939.9,599,7.6905509182,4606.64,13,15.4872287145,16.9429845555,32.8869949917,647.691208791
2190,DES MOINES,50314,Polk,107521,0.334112510659,95.4913960358,1228496.81,12865,5.00512242518,64390.9,195,17.8508286047,24.2991355062,31.8774372328,3365.74468493,22457,0.33411282749,83.3137402344,255939.81,3072,4.57868815104,14065.73,43,16.5384798177,22.8452923274,27.8144791667,2812.52538462,25172,0.333670902831,105.707628571,332979.03,3150,5.26606666667,16588.11,41,19.3156380952,26.2144565643,35.2612984127,3659.11021978
2191,KEOKUK,52632,Lee,79009,0.33370259584,229.408519784,1275511.37,5560,14.60675,81213.53,52,17.1002122302,18.9179107896,76.5189730216,3494.55169863,20120,0.333784207435,224.188819396,319020.69,1423,14.3315671117,20393.82,13,17.1835910049,18.6656898552,74.7883345046,3505.72186813,18784,0.333607927651,203.082469799,302592.88,1490,12.866261745,19170.73,13,17.1745838926,18.9500943507,67.7251677852,3325.19648352
2200,SAC CITY,50583,Sac,15409,0.334117898796,57.7059896907,223899.24,3880,4.45646649485,17291.09,51,17.4556726804,17.0451413423,19.3373453608,613.422575342,3075,0.334303638094,57.5384898477,45340.33,788,4.30628172589,3393.35,11,17.1716751269,16.8779107429,19.2670304569,498.245384615,3885,0.333791147858,58.7834537726,55315.23,941,4.56701381509,4297.56,13,17.3034856536,16.2750891272,19.6641126461,607.85967033
2228,WINTERSET,50273,Madison,14932,0.33406604193,67.0023767293,188879.7,2819,5.38807023767,15188.97,52,14.987626818,17.7063626529,22.4270237673,517.478630137,3974,0.334469292604,70.8764444444,51031.04,720,5.85194444444,4213.4,13,14.9434166667,17.1771464599,23.697625,560.780659341,3678,0.333863109981,63.2814477612,42398.57,670,5.21288059701,3492.63,13,15.0538358209,17.8955974638,21.1501343284,465.918351648
2233,SPIRIT LAKE,51360,Dickinson,22166,0.334271622171,125.387831421,316855.05,2527,9.34734863474,23620.75,51,18.353676296,20.3771728036,41.892132964,868.096027397,4732,0.334056109501,118.785311419,68657.91,578,8.84967128028,5115.11,13,17.8816608997,19.4302312984,39.68183391,754.482527473,4109,0.333887129603,116.683755187,56241.57,482,8.98989626556,4333.13,13,18.8316182573,20.5443033673,38.9661410788,618.039230769
2248,DES MOINES,50312,Polk,35560,0.334141690463,143.276481964,659358.37,4602,6.27020860495,28855.5,58,21.632603216,27.7933309215,47.8693242069,1806.46128767,6640,0.334195783992,127.445146444,121837.56,956,5.862541841,5604.59,12,20.420125523,26.1788804385,42.6029707113,1338.87428571,8483,0.333725326896,138.385629406,137416.93,993,6.22039274924,6176.85,13,20.8619838872,27.4980813908,46.1685699899,1510.07615385
2285,IOWA CITY,52240,Johnson,44297,0.334257591247,259.727449866,777104.53,2992,12.3959191176,37088.59,53,21.6276069519,26.6722677537,86.7601504011,2129.05350685,8259,0.33446874263,228.900639626,146725.31,641,10.637550702,6818.67,13,20.3318564743,25.173711277,76.5074726989,1612.36604396,8514,0.333614279855,270.437798635,158476.55,586,12.3401365188,7231.32,13,22.602337884,27.4677748659,90.1821672355,1741.50054945
2290,STORM LAKE,50588,Buena Vista,39483,0.334144906959,68.682786169,550217.8,8011,4.55771189614,36511.83,53,16.2021582824,18.9217349279,22.9481762576,1507.4460274,8573,0.333974841389,72.4272981178,119287.76,1647,4.92775956284,8116.02,12,16.1241226472,18.7521104227,24.1919429265,1310.85450549,9231,0.333761903125,49.7355656646,125731.51,2528,3.30191060127,8347.23,13,15.6918512658,18.8364281717,16.6037618671,1381.66494505
2327,CORNING,50841,Adams,8446,0.333259110702,55.9804117974,100596.8,1797,4.20012242627,7547.62,50,15.1204173623,17.7810649363,18.7060545353,275.607671233,1804,0.334049414074,56.8017597765,20335.03,358,4.30089385475,1539.72,11,14.3262011173,17.4887363661,18.9787430168,223.461868132,1727,0.333834544354,49.2877878104,21834.49,443,3.71076749436,1643.87,13,16.0399322799,17.0218810429,16.4647629797,239.939450549
2413,DUBUQUE,52001,Dubuque,55587,0.334094937424,186.297043226,836101.13,4488,12.0767847594,54200.61,54,16.131399287,17.4726448307,62.1990040107,2290.6880274,13574,0.334109572468,193.224011353,204237.78,1057,12.6896121097,13412.92,14,15.9111447493,16.9515623733,64.521551561,2244.37120879,13331,0.333836389752,189.8036,204038.87,1075,12.2066511628,13122.15,13,16.4103627907,17.9278077519,63.3314232558,2242.18538462
2445,OAKLAND,51560,Pottawattamie,6329,0.334114741859,42.6683690476,71682.86,1680,3.7250952381,6258.16,50,14.1279821429,14.606337447,14.2518095238,196.39139726,1535,0.33402303758,43.4337179487,16939.15,390,3.86343589744,1506.74,11,13.9494615385,14.2747195553,14.5038205128,186.144505495,1439,0.333592372555,43.9490196078,15689.8,357,4.04210084034,1443.03,13,14.2518487395,14.623020875,14.661092437,172.415384615
2448,INDIANOLA,50125,Warren,13839,0.334048296928,48.0734911243,203110.5,4225,3.21072662722,13565.32,52,15.3587171598,17.3444642659,16.0432686391,556.467123288,3785,0.333993065349,49.6405366726,55498.12,1118,3.33953488372,3733.6,13,15.1173613596,16.9753226492,16.5646332737,609.869450549,3287,0.333722553498,49.8415708419,48545.69,974,3.26696098563,3182.02,13,15.0452669405,17.2205537033,16.6251540041,533.469120879
2459,GUTHRIE CENTER,50115,Guthrie,6379,0.3348189645,75.2634761905,79026.65,1050,6.29097142857,6605.52,41,13.1358571429,14.5392448115,25.1911714286,216.511369863,1333,0.335311579423,73.6588940092,15983.98,217,6.23267281106,1352.49,9,12.6146082949,14.3672805125,24.6744700461,175.648131868,1271,0.334740043791,66.0758704453,16320.74,247,5.51546558704,1362.32,7,13.0337651822,14.5547674601,22.1162348178,179.348791209
2465,DUBUQUE,52003,Dubuque,18293,0.334120569878,69.3550982447,264728.41,3817,4.37622478386,16704.05,52,18.0782080168,21.109743671,23.1614514016,725.283315068,4427,0.334006922721,61.0942483026,62988.17,1031,3.94304558681,4065.28,13,17.1911542192,20.01476445,20.3951309408,692.177692308,3646,0.333764181835,69.0682467532,53182.55,770,4.31961038961,3326.1,13,18.9265844156,22.5953057968,23.0519220779,584.423626374
2475,WEST BEND,50597,Kossuth,7801,0.334429770566,145.475854241,121763.29,837,12.9889127838,10871.72,52,15.9109677419,14.6789957046,48.8207407407,333.598054795,1800,0.333987916338,139.800707547,29637.75,212,11.3175,2399.31,13,16.7300943396,16.180384097,46.6945283019,325.68956044,1986,0.334023275575,141.406651163,30402.43,215,12.8966046512,2772.77,13,16.9013953488,15.2846456257,47.3319069767,334.092637363
2478,ALTOONA,50009,Polk,11196,0.333436358355,219.63539823,198550.4,904,11.6974557522,10574.5,56,20.1371792035,23.1293325959,73.2315044248,543.97369863,2773,0.333424240794,211.080995671,48759.71,231,11.3614718615,2624.5,15,19.2251948052,21.9833766234,70.3781385281,535.820989011,2553,0.333447631983,217.591705069,47217.4,217,11.0783410138,2404.0,12,22.6480184332,26.5034715822,72.5532258065,518.872527473
2498,ARLINGTON,50606,Fayette,2840,0.334805561545,42.1706144393,27453.07,651,3.94522273425,2568.34,23,10.4866973886,13.0628339185,14.1447926267,75.213890411,612,0.334776145422,41.9369172932,5577.61,133,3.98601503759,530.14,5,10.2360150376,12.8542937701,14.1087218045,61.2924175824,666,0.334069686568,41.6193464052,6367.76,153,3.62947712418,555.31,5,10.7038562092,13.9055477747,13.9205882353,69.9753846154
