Store Number,City,Zip Code,County,2015 Total Bottles Sold,2015 Average Margin Ratio,2015 Average Sale (Dollars),2015 Total Sales (Dollars),2015 Total Transactions,2015 Average Volume per Sale (Liters),2015 Total Volume Sold (Liters),2015 DaysOpen,2015 Average Price per Bottle (Dollars),2015 Average Price per Liter (Dollars),2015 Average Margin,2015 Average Sales per Day
2106,CEDAR FALLS,50613,Black Hawk,99993,0.333939883189,281.070548804,1434021.94,5102,18.4207604861,93982.72,52,16.1932751862,18.8467309958,93.8022814583,3928.82723288
2113,GOWRIE,50543,Webster,6483,0.334248445184,63.0150036738,85763.42,1361,4.77650991918,6500.83,48,15.9630712711,17.6257038491,21.0824246877,234.968273973
2130,WATERLOO,50703,Black Hawk,72562,0.333923297941,280.624206128,1108184.99,3949,16.6024006077,65562.88,52,15.4238946569,17.5065986659,93.6124943024,3036.12326027
2178,WAUKON,52172,Allamakee,20504,0.33467849239,104.389019902,277987.96,2663,8.15602328201,21719.49,52,15.046965828,16.5944384857,35.0114570034,761.610849315
2190,DES MOINES,50314,Polk,107521,0.334112510659,95.4913960358,1228496.81,12865,5.00512242518,64390.9,195,17.8508286047,24.2991355062,31.8774372328,3365.74468493
2191,KEOKUK,52632,Lee,79009,0.33370259584,229.408519784,1275511.37,5560,14.60675,81213.53,52,17.1002122302,18.9179107896,76.5189730216,3494.55169863
2200,SAC CITY,50583,Sac,15409,0.334117898796,57.7059896907,223899.24,3880,4.45646649485,17291.09,51,17.4556726804,17.0451413423,19.3373453608,613.422575342
2228,WINTERSET,50273,Madison,14932,0.33406604193,67.0023767293,188879.7,2819,5.38807023767,15188.97,52,14.987626818,17.7063626529,22.4270237673,517.478630137
2233,SPIRIT LAKE,51360,Dickinson,22166,0.334271622171,125.387831421,316855.05,2527,9.34734863474,23620.75,51,18.353676296,20.3771728036,41.892132964,868.096027397
2248,DES MOINES,50312,Polk,35560,0.334141690463,143.276481964,659358.37,4602,6.27020860495,28855.5,58,21.632603216,27.7933309215,47.8693242069,1806.46128767
2285,IOWA CITY,52240,Johnson,44297,0.334257591247,259.727449866,777104.53,2992,12.3959191176,37088.59,53,21.6276069519,26.6722677537,86.7601504011,2129.05350685
2290,STORM LAKE,50588,Buena Vista,39483,0.334144906959,68.682786169,550217.8,8011,4.55771189614,36511.83,53,16.2021582824,18.9217349279,22.9481762576,1507.4460274
2327,CORNING,50841,Adams,8446,0.333259110702,55.9804117974,100596.8,1797,4.20012242627,7547.62,50,15.1204173623,17.7810649363,18.7060545353,275.607671233
2413,DUBUQUE,52001,Dubuque,55587,0.334094937424,186.297043226,836101.13,4488,12.0767847594,54200.61,54,16.131399287,17.4726448307,62.1990040107,2290.6880274
2445,OAKLAND,51560,Pottawattamie,6329,0.334114741859,42.6683690476,71682.86,1680,3.7250952381,6258.16,50,14.1279821429,14.606337447,14.2518095238,196.39139726
2448,INDIANOLA,50125,Warren,13839,0.334048296928,48.0734911243,203110.5,4225,3.21072662722,13565.32,52,15.3587171598,17.3444642659,16.0432686391,556.467123288
2459,GUTHRIE CENTER,50115,Guthrie,6379,0.3348189645,75.2634761905,79026.65,1050,6.29097142857,6605.52,41,13.1358571429,14.5392448115,25.1911714286,216.511369863
2465,DUBUQUE,52003,Dubuque,18293,0.334120569878,69.3550982447,264728.41,3817,4.37622478386,16704.05,52,18.0782080168,21.109743671,23.1614514016,725.283315068
2475,WEST BEND,50597,Kossuth,7801,0.334429770566,145.475854241,121763.29,837,12.9889127838,10871.72,52,15.9109677419,14.6789957046,48.8207407407,333.598054795
2478,ALTOONA,50009,Polk,11196,0.333436358355,219.63539823,198550.4,904,11.6974557522,10574.5,56,20.1371792035,23.1293325959,73.2315044248,543.97369863
2498,ARLINGTON,50606,Fayette,2840,0.334805561545,42.1706144393,27453.07,651,3.94522273425,2568.34,23,10.4866973886,13.0628339185,14.1447926267,75.213890411
2500,AMES,50010,Story,98530,0.334456237794,108.903473439,1355085.92,12443,7.36958530901,91699.75,55,15.184503737,18.9650910135,36.4085284899,3712.56416438
2501,AMES,50010,Story,102095,0.334750155419,108.078864653,1377465.13,12745,7.34350882699,93593.02,52,15.5910074539,19.5971989296,36.1718619066,3773.87706849
2502,ANKENY,50021,Polk,92638,0.334587843069,178.745150449,1372226.52,7677,12.3500273544,94811.16,59,16.5588706526,19.9641930282,59.8934779211,3759.52471233
2505,BOONE,50036,Boone,48908,0.334185912999,110.749191732,659068.44,5951,8.41791967737,50095.04,57,14.0076306503,17.0386009074,37.1085548647,1805.6669589
2506,BURLINGTON,52601,Des Moines,94292,0.33411612086,156.883355675,1427795.42,9101,10.2608361718,93383.87,54,16.6826931106,19.5405353916,52.4055916932,3911.76827397
2507,BURLINGTON,52601,Des Moines,29811,0.334020567187,91.8658458704,299207.06,3257,7.82435369972,25483.92,50,11.6494565551,14.4599166734,30.681099171,819.745369863
2508,CEDAR RAPIDS,52405,Linn,77480,0.33422658694,144.029823674,1110902.03,7713,10.3314300532,79686.32,53,15.3368818877,18.4856671385,48.1333683392,3043.56720548
2509,CEDAR RAPIDS,52404,Linn,46749,0.334528681714,142.498988447,555033.56,3895,12.5284878049,48798.46,52,13.5082901155,15.3241951608,47.7406803594,1520.63989041
2512,IOWA CITY,52240,Johnson,282801,0.334222924376,291.202105816,4155454.05,14270,18.7447505256,267487.59,104,16.2479901892,19.6143464331,97.2243398739,11384.8056164
2513,IOWA CITY,52240,Johnson,50774,0.334582958039,93.5754105445,649600.5,6942,6.65773264189,46217.98,52,13.861525497,17.0105726858,31.2923926822,1779.72739726
2514,MARION,50129,Linn,19235,0.334631297916,105.478375812,211062.23,2001,10.6321289355,21274.89,49,11.3670164918,13.7771414922,35.27017991,578.252684932
2515,MASON CITY,50401,Cerro Gordo,83043,0.334268006779,95.4268445564,1249900.81,13098,6.92770422965,90739.07,52,15.7917689724,18.3657683903,31.9091555963,3424.38578082
2517,NEWTON,50208,Jasper,56022,0.334583905594,87.1374519231,761232.78,8736,6.61817422161,57816.37,52,14.4270089286,17.3445413216,29.1482532051,2085.56926027
2518,RED OAK,51566,Montgomery,24278,0.33387163196,97.526975,351097.11,3600,7.12444444444,25648.0,52,15.2108555556,18.8296206451,32.6235916667,961.909890411
2521,WEST DES MOINES,50265,Polk,80284,0.33417784732,143.568611927,1124285.8,7831,9.84966032435,77132.69,64,15.6993372494,19.7384356702,47.9893704508,3080.23506849
2522,SPIRIT LAKE,51360,Dickinson,73610,0.334295442101,166.091484458,1095373.34,6595,11.5058377559,75881.0,52,15.4168855193,18.1448053878,55.5221865049,3001.02284932
2523,CENTERVILLE,52544,Appanoose,30623,0.334386727845,95.4535962145,393364.27,4121,6.30981315215,26002.74,53,14.3088643533,17.8135442682,31.941637952,1077.71032877
2524,DUBUQUE,52001,Dubuque,69998,0.334437421662,147.472030086,990127.21,6714,10.1866219839,68392.98,53,15.8607938636,18.9489865764,49.3420628537,2712.67728767
2527,DES MOINES,50315,Polk,51273,0.334635099237,127.833441585,625872.53,4896,10.1221793301,49558.19,57,14.0612928922,16.285718152,42.8693852124,1714.71926027
2528,DES MOINES,50315,Polk,88916,0.33457611648,159.027036274,1003937.68,6313,10.8003469032,68182.59,101,14.290478378,18.1689330451,53.1849073341,2750.51419178
2529,CEDAR RAPIDS,52405,Linn,30921,0.334824321533,75.6846150628,361772.46,4780,7.26782845188,34740.22,52,12.236832636,14.7814636823,25.4050062762,991.157424658
2532,DES MOINES,50317,Polk,51227,0.33488265498,131.165225938,580537.29,4426,10.6737166742,47241.87,56,12.8615928604,14.6642978195,43.9390962494,1590.51312329
2535,WEST DES MOINES,50265,Polk,47494,0.334659858226,133.067484577,668664.11,5025,9.15026865672,45980.1,62,15.5004338308,18.3473971403,44.5348318408,1831.95646575
2536,PLEASANT HILL,50317,Polk,53360,0.334418939011,118.262452738,725658.41,6136,8.12418187744,49849.98,68,16.8418595176,20.7472359071,39.530065189,1988.10523288
2538,WATERLOO,50702,Black Hawk,48528,0.334454519973,94.1508449183,697563.61,7409,6.27579970306,46497.4,52,15.6646484006,20.2828181666,31.5106033203,1911.13317808
2539,IOWA FALLS,50126,Hardin,42670,0.334599283217,149.757436078,638415.95,4263,10.6772953319,45517.31,52,16.4409852217,17.7816898596,50.1331972789,1749.08479452
2543,OTTUWMA,52501,Wapello,47238,0.334144611443,85.8502063365,644906.75,7512,5.88898828541,44238.08,52,13.9151051651,18.2600928444,28.7115801384,1766.86780822
2544,MARSHALLTOWN,50158,Marshall,88571,0.334589219295,156.568079936,1378895.08,8807,10.6401714545,93707.99,53,15.1049506075,17.7916008627,52.4235630748,3777.79473973
2545,IOWA CITY,52245,Johnson,36151,0.33420286462,71.8088433668,515300.26,7176,4.75559643255,34126.16,52,15.4360841695,20.3189240088,24.0028010033,1411.78153425
2548,ALTOONA,50009,Polk,77368,0.33461076034,141.236342407,1022127.41,7237,10.246884068,74156.7,58,14.2231753489,18.0601298364,47.3184344342,2800.34906849
2549,INDIANOLA,50125,Warren,53363,0.33439151668,147.068507232,762550.21,5185,10.29268081,53367.55,60,15.0665265188,17.2365626663,49.1944300868,2089.17865753
2550,OSCEOLA,50213,Clarke,14633,0.334366038147,59.5178105263,197896.72,3325,4.41819548872,14690.5,52,14.1296932331,15.9724959749,19.9170827068,542.182794521
2551,CHARITON,50049,Lucas,27259,0.334259075128,97.6929452978,362538.52,3711,7.10134734573,26353.1,52,15.1275613042,17.6782035367,32.71362436,993.256219178
2552,CEDAR RAPIDS,52404,Linn,91437,0.334698842327,108.37044484,1096275.42,10116,8.00611901938,80989.9,53,15.3266864373,19.37757873,36.2773863187,3003.49430137
2553,CRESTON,50801,Union,22397,0.334502905721,105.248483108,311535.51,2960,7.79050337838,23059.89,52,15.2540709459,16.3725471237,35.2223614865,853.521945205
2554,DAVENPORT,52802,Scott,22112,0.334624511182,119.675353749,226665.12,1894,11.1293822598,21079.05,50,11.6741341077,11.7317312817,40.0093030623,621.000328767
2555,KEOKUK,52632,Lee,52276,0.334004126269,136.564184205,707265.91,5179,9.34847653987,48415.76,53,14.7685190191,18.0717866968,45.5890982815,1937.71482192
2556,ESTHERVILLE,51334,Emmet,28219,0.334358897329,84.4722528595,413576.15,4896,6.31088643791,30898.1,53,15.7000183824,18.2204661048,28.2592197712,1133.08534247
2558,MOUNT PLEASANT,52641,Henry,49881,0.334330453099,164.894114583,696512.74,4224,11.6256060606,49106.56,51,15.8693158144,18.1261096155,55.1925378788,1908.25408219
2559,ALBIA,52531,Monroe,8345,0.33475452246,86.8601716069,111354.74,1282,6.65440717629,8530.95,46,14.6132527301,16.3551482059,29.106349454,305.081479452
2560,MARION,52302,Linn,68082,0.334434029539,117.002107723,1001421.04,8559,7.93041476808,67876.42,52,16.5991459283,18.4001439031,39.1116473887,2743.61928767
2561,DES MOINES,50321,Polk,94180,0.334385915226,139.773023553,1424287.11,10190,9.003562316,91746.3,55,16.4324906771,21.3237051338,46.7565544652,3902.15646575
2562,FORT DODGE,50501,Webster,28530,0.335385179502,170.439056021,386385.34,2267,14.4394353772,32734.2,52,13.8468416409,13.82515175,57.2886237318,1058.5899726
2564,WATERLOO,50701,Black Hawk,34629,0.334508305764,138.229245835,472882.25,3421,11.0115404852,37670.48,51,14.4653990061,15.7827455447,46.2992604502,1295.56780822
2565,SPENCER,51301,Clay,56691,0.334396575611,76.3522215634,772608.13,10119,5.72389564186,57920.1,52,15.0278802253,18.4579088249,25.5950192707,2116.73460274
2566,KNOXVILLE,50138,Marion,26894,0.33406533127,109.627445122,359578.02,3280,7.77732012195,25509.61,51,13.5231737805,17.9971094997,36.7157591463,985.145260274
2567,DAVENPORT,52806,Scott,38950,0.334743575033,59.7275756405,463904.08,7767,4.75918372602,36964.58,51,12.4888760139,15.4103840221,20.0006463242,1270.97008219
2568,CEDAR RAPIDS,52402,Linn,31205,0.334425499139,87.0089628241,278515.69,3201,7.78586691659,24922.56,52,12.0634989066,15.0581161902,29.0692439863,763.056684932
2569,CEDAR RAPIDS,52402,Linn,32149,0.334791291922,67.8866567724,434542.49,6401,5.03499140759,32228.98,52,14.7749179816,16.9281007088,22.7097016091,1190.52736986
2571,WATERLOO,50703,Black Hawk,68699,0.334498942013,176.222497409,850273.55,4825,11.6845098446,56377.76,52,15.2867564767,17.4301873133,58.9404393782,2329.51657534
2572,CEDAR FALLS,50613,Black Hawk,70704,0.334640633257,77.0135522388,1031981.6,13400,5.14772910448,68979.57,52,15.0464149254,18.8054601418,25.7666753731,2827.34684932
