Store Number,City,Zip Code,County,Q1_16 Total Bottles Sold,Q1_16 Average Margin Ratio,Q1_16 Average Sale (Dollars),Q1_16 Total Sales (Dollars),Q1_16 Total Transactions,Q1_16 Average Volume per Sale (Liters),Q1_16 Total Volume Sold (Liters),Q1_16 DaysOpen,Q1_16 Average Price per Bottle (Dollars),Q1_16 Average Price per Liter (Dollars),Q1_16 Average Margin,Q1_16 Average Sales per Day
2106,CEDAR FALLS,50613,Black Hawk,23605,0.333643549168,274.860903173,337804.05,1229,18.1268917819,22277.95,13,15.7187794955,18.1082575846,91.6704149715,3712.13241758
2113,GOWRIE,50543,Webster,1703,0.33384138292,55.3094910941,21736.63,393,4.09178117048,1608.07,13,15.9654707379,17.6301112514,18.4735368957,238.864065934
2130,WATERLOO,50703,Black Hawk,19832,0.333619088454,295.420856593,306942.27,1039,17.4906159769,18172.75,14,15.2432627526,17.0467624547,98.5233782483,3372.99197802
2178,WAUKON,52172,Allamakee,4539,0.334043425143,98.3971619366,58939.9,599,7.6905509182,4606.64,13,15.4872287145,16.9429845555,32.8869949917,647.691208791
2190,DES MOINES,50314,Polk,25172,0.333670902831,105.707628571,332979.03,3150,5.26606666667,16588.11,41,19.3156380952,26.2144565643,35.2612984127,3659.11021978
2191,KEOKUK,52632,Lee,18784,0.333607927651,203.082469799,302592.88,1490,12.866261745,19170.73,13,17.1745838926,18.9500943507,67.7251677852,3325.19648352
2200,SAC CITY,50583,Sac,3885,0.333791147858,58.7834537726,55315.23,941,4.56701381509,4297.56,13,17.3034856536,16.2750891272,19.6641126461,607.85967033
2228,WINTERSET,50273,Madison,3678,0.333863109981,63.2814477612,42398.57,670,5.21288059701,3492.63,13,15.0538358209,17.8955974638,21.1501343284,465.918351648
2233,SPIRIT LAKE,51360,Dickinson,4109,0.333887129603,116.683755187,56241.57,482,8.98989626556,4333.13,13,18.8316182573,20.5443033673,38.9661410788,618.039230769
2248,DES MOINES,50312,Polk,8483,0.333725326896,138.385629406,137416.93,993,6.22039274924,6176.85,13,20.8619838872,27.4980813908,46.1685699899,1510.07615385
2285,IOWA CITY,52240,Johnson,8514,0.333614279855,270.437798635,158476.55,586,12.3401365188,7231.32,13,22.602337884,27.4677748659,90.1821672355,1741.50054945
2290,STORM LAKE,50588,Buena Vista,9231,0.333761903125,49.7355656646,125731.51,2528,3.30191060127,8347.23,13,15.6918512658,18.8364281717,16.6037618671,1381.66494505
2327,CORNING,50841,Adams,1727,0.333834544354,49.2877878104,21834.49,443,3.71076749436,1643.87,13,16.0399322799,17.0218810429,16.4647629797,239.939450549
2413,DUBUQUE,52001,Dubuque,13331,0.333836389752,189.8036,204038.87,1075,12.2066511628,13122.15,13,16.4103627907,17.9278077519,63.3314232558,2242.18538462
2445,OAKLAND,51560,Pottawattamie,1439,0.333592372555,43.9490196078,15689.8,357,4.04210084034,1443.03,13,14.2518487395,14.623020875,14.661092437,172.415384615
2448,INDIANOLA,50125,Warren,3287,0.333722553498,49.8415708419,48545.69,974,3.26696098563,3182.02,13,15.0452669405,17.2205537033,16.6251540041,533.469120879
2459,GUTHRIE CENTER,50115,Guthrie,1271,0.334740043791,66.0758704453,16320.74,247,5.51546558704,1362.32,7,13.0337651822,14.5547674601,22.1162348178,179.348791209
2465,DUBUQUE,52003,Dubuque,3646,0.333764181835,69.0682467532,53182.55,770,4.31961038961,3326.1,13,18.9265844156,22.5953057968,23.0519220779,584.423626374
2475,WEST BEND,50597,Kossuth,1986,0.334023275575,141.406651163,30402.43,215,12.8966046512,2772.77,13,16.9013953488,15.2846456257,47.3319069767,334.092637363
2478,ALTOONA,50009,Polk,2553,0.333447631983,217.591705069,47217.4,217,11.0783410138,2404.0,12,22.6480184332,26.5034715822,72.5532258065,518.872527473
2498,ARLINGTON,50606,Fayette,666,0.334069686568,41.6193464052,6367.76,153,3.62947712418,555.31,5,10.7038562092,13.9055477747,13.9205882353,69.9753846154
2500,AMES,50010,Story,23561,0.333878852328,96.7819194591,329252.09,3402,6.27610523222,21351.31,13,15.1283274544,18.8194662614,32.296984127,3618.15483516
2501,AMES,50010,Story,25170,0.334061277232,113.372846442,332976.05,2937,7.78824310521,22874.07,13,15.5439938713,19.4290357832,37.8563976847,3659.07747253
2502,ANKENY,50021,Polk,16385,0.333835185899,131.537525196,234926.02,1786,9.34623180291,16692.37,14,16.5182026876,19.694316769,43.9750447928,2581.60461538
2505,BOONE,50036,Boone,11128,0.333829006574,107.907990057,151934.45,1408,8.16194602273,11492.02,20,14.0122372159,16.669499513,36.1157173295,1669.60934066
2506,BURLINGTON,52601,Des Moines,21153,0.333835664943,145.469624826,314068.92,2159,9.62838814266,20787.69,13,16.1135618342,18.6809445407,48.5485687818,3451.30681319
2507,BURLINGTON,52601,Des Moines,6176,0.333601973246,105.362044293,61847.52,587,8.65212947189,5078.8,13,12.2909369676,15.0303494664,35.1446678024,679.643076923
2508,CEDAR RAPIDS,52405,Linn,13533,0.333859845155,140.250874656,203644.27,1452,9.40460743802,13655.49,14,21.6877548209,26.4668757897,46.7928787879,2237.84912088
2509,CEDAR RAPIDS,52404,Linn,10295,0.333991688865,136.309570011,123632.78,907,11.8154796031,10716.64,13,13.5662513782,15.6066270013,45.6678941566,1358.60197802
2512,IOWA CITY,52240,Johnson,74069,0.333728662516,284.82291949,1050711.75,3689,19.0030902684,70102.4,26,19.0438872323,20.6343612945,95.0039550014,11546.282967
2513,IOWA CITY,52240,Johnson,11733,0.333990649686,90.3445778046,149791.31,1658,6.3450482509,10520.09,13,13.95053076,17.0685781688,30.1672316043,1646.05835165
2514,MARION,50129,Linn,5303,0.333785911551,154.287468672,61560.7,399,16.0593483709,6407.68,12,11.6304511278,14.2552191252,51.8421303258,676.491208791
2515,MASON CITY,50401,Cerro Gordo,17665,0.333827331255,85.0330433366,260966.41,3069,6.28146301727,19277.81,13,15.883655914,18.3301512436,28.3786803519,2867.76274725
2517,NEWTON,50208,Jasper,12011,0.334031715597,86.2173587951,160278.07,1859,6.59910166756,12267.73,13,14.1121785906,16.8301990245,28.81,1761.29747253
2518,RED OAK,51566,Montgomery,5775,0.333588463613,103.318201058,78108.56,756,7.59445767196,5741.41,13,14.7519708995,17.6762171744,34.455952381,858.335824176
2521,WEST DES MOINES,50265,Polk,18495,0.333882148835,127.967177419,253886.88,1984,8.46476310484,16794.09,13,15.75859375,20.1048861368,42.6991582661,2789.96571429
2522,SPIRIT LAKE,51360,Dickinson,12861,0.333950298453,132.362694656,173395.13,1310,9.70158015267,12709.07,13,14.8479541985,18.0585495514,44.2829770992,1905.44098901
2523,CENTERVILLE,52544,Appanoose,7010,0.333984318092,98.3080128894,91524.76,931,6.95456498389,6474.7,13,14.682094522,18.1024755565,32.8399355532,1005.76659341
2524,DUBUQUE,52001,Dubuque,17834,0.333794005088,139.293063519,247802.36,1779,9.75177627881,17348.41,13,15.5578189994,18.5826233768,46.4800393479,2723.10285714
2527,DES MOINES,50315,Polk,10682,0.333702763988,93.3698384491,115591.86,1238,7.78517770598,9638.05,14,13.7524313409,16.7480793715,31.1550646204,1270.24021978
2528,DES MOINES,50315,Polk,21966,0.333838477648,163.182062937,233350.35,1430,11.2883916084,16142.4,23,13.8698461538,18.3095799201,54.5606223776,2564.28956044
2529,CEDAR RAPIDS,52405,Linn,7561,0.334111468192,68.1706982343,84940.69,1246,6.55711075441,8170.16,13,11.8374317817,15.0800768484,22.8758186196,933.414175824
2532,DES MOINES,50317,Polk,10016,0.334106427634,114.95852329,115993.15,1009,9.04531219029,9126.72,13,13.2660951437,15.3211326632,38.3827948464,1274.65
2535,WEST DES MOINES,50265,Polk,9579,0.333890427734,113.41245471,125207.35,1104,8.56424818841,9454.93,14,15.1969384058,17.9860268461,37.8504891304,1375.90494505
2536,PLEASANT HILL,50317,Polk,12122,0.333691428003,114.478452803,161300.14,1409,7.99578424414,11266.06,15,16.4712633073,20.0762244919,38.1913697658,1772.52901099
2538,WATERLOO,50702,Black Hawk,11742,0.333739727915,82.8011295181,164939.85,1992,5.81488955823,11583.26,13,14.5731927711,19.5408096017,27.6650150602,1812.52582418
2539,IOWA FALLS,50126,Hardin,9701,0.334019348384,139.936341232,147632.84,1055,10.1819336493,10741.94,13,17.1022274882,18.7497519985,46.8207677725,1622.3389011
2543,OTTUWMA,52501,Wapello,12302,0.333729816588,96.9542783209,168603.49,1739,6.63613571018,11540.24,14,13.7343703278,19.1016787554,32.4246233468,1852.7856044
2544,MARSHALLTOWN,50158,Marshall,21400,0.333916606828,152.410858159,342772.02,2249,10.2075144509,22956.7,13,15.3335437972,17.8169701101,50.9209604269,3766.72549451
2545,IOWA CITY,52245,Johnson,7361,0.333638317312,64.3487484355,102829.3,1598,4.18647058824,6689.98,13,15.4944430538,20.7174937621,21.4615269086,1129.99230769
2548,ALTOONA,50009,Polk,17333,0.334030662595,138.284396166,216415.08,1565,10.5327539936,16483.76,14,13.8537763578,17.4493414727,46.2550990415,2378.18769231
2549,INDIANOLA,50125,Warren,12361,0.333885485992,146.509504618,174492.82,1191,10.3585138539,12336.99,15,15.2795633921,16.9616549514,48.9030142737,1917.50351648
2550,OSCEOLA,50213,Clarke,3109,0.333950588677,66.2593890675,41213.34,622,4.97548231511,3094.75,13,13.7871543408,15.0955734191,22.1213987138,452.893846154
2551,CHARITON,50049,Lucas,7233,0.333951430442,108.073436019,91213.98,844,8.70018957346,7342.96,13,14.3123459716,16.8352962788,36.2568009479,1002.35142857
2552,CEDAR RAPIDS,52404,Linn,19818,0.333961295748,115.477777778,256707.1,2223,8.22073774179,18274.7,14,14.5429779577,18.2570812738,38.5740395861,2820.95714286
2553,CRESTON,50801,Union,5313,0.333955781634,111.240498534,75866.02,682,7.94032258065,5415.3,13,15.5356304985,16.4785400084,37.1552785924,833.692527473
2554,DAVENPORT,52802,Scott,4638,0.333766055032,108.929892009,50434.54,463,9.77084233261,4523.9,13,12.4159395248,12.2606551476,36.3479049676,554.225714286
2555,KEOKUK,52632,Lee,10047,0.333684371999,148.234633891,141712.31,956,10.4522384937,9992.34,13,15.2690481172,18.1823724846,49.439748954,1557.27813187
2556,ESTHERVILLE,51334,Emmet,6473,0.333864937646,78.1524764353,91203.94,1167,6.08256212511,7098.35,13,14.6712682091,17.1592475759,26.1518337618,1002.2410989
2558,MOUNT PLEASANT,52641,Henry,11462,0.333670825584,154.566094675,156730.02,1014,10.4836686391,10630.44,13,15.6980078895,18.2367978069,51.7367159763,1722.30791209
2559,ALBIA,52531,Monroe,1857,0.334594918774,92.391870229,24206.67,262,7.56106870229,1981.0,12,14.4508778626,15.7753053435,30.9138931298,266.007362637
2560,MARION,52302,Linn,15158,0.333830031975,119.243697433,218335.21,1831,8.25113599126,15107.83,13,15.5975914801,18.5099862162,39.8275696341,2399.28802198
2561,DES MOINES,50321,Polk,22062,0.333792881376,128.002822835,325127.17,2540,8.02509055118,20383.73,15,15.8159291339,20.5200717395,42.6979488189,3572.82604396
2562,FORT DODGE,50501,Webster,6915,0.334058371895,183.683060429,94229.41,513,16.0341130604,8225.5,13,13.4117348928,13.9629685324,61.6089668616,1035.48802198
2564,WATERLOO,50701,Black Hawk,8336,0.33378883579,142.080723764,117784.92,829,10.8053075995,8957.6,13,14.1840289505,15.9064310494,47.579119421,1294.33978022
2565,SPENCER,51301,Clay,12571,0.333843013916,61.6355892132,166847.54,2707,4.68219431105,12674.7,13,14.6699852235,18.1438070845,20.6288178796,1833.48945055
2566,KNOXVILLE,50138,Marion,5612,0.333621515263,98.6744804318,73117.79,741,7.16018893387,5305.7,13,13.2013225371,17.148866742,32.9127935223,803.492197802
2567,DAVENPORT,52806,Scott,8632,0.334081674821,58.051812933,100545.74,1732,4.73439376443,8199.97,13,12.4729503464,15.4782127198,19.3967263279,1104.89824176
2568,CEDAR RAPIDS,52402,Linn,7851,0.333973284473,85.7793905473,68966.63,804,7.53344527363,6056.89,13,12.2480223881,15.3773311388,28.6316044776,757.875054945
2569,CEDAR RAPIDS,52402,Linn,7080,0.333867899766,63.9119427811,96059.65,1503,4.67562208916,7027.46,13,14.3938323353,16.534835888,21.3394145043,1055.60054945
2571,WATERLOO,50703,Black Hawk,17679,0.333764187739,176.48117598,211600.93,1199,13.1010842369,15708.2,13,15.6710842369,18.3801711378,58.9386488741,2325.28494505
2572,CEDAR FALLS,50613,Black Hawk,15793,0.333881938629,63.8322104405,234774.87,3678,4.43422512235,16309.08,13,15.1877841218,18.8495264697,21.3470799347,2579.94362637
2573,MUSCATINE,52761,Muscatine,17946,0.333871488523,127.001278409,268226.7,2112,9.02268465909,19055.91,13,16.9995596591,20.0775979129,42.4370265152,2947.54615385
2575,WATERLOO,50702,Black Hawk,4544,0.333718773706,115.552385686,58122.85,503,9.36103379722,4708.6,13,14.0181908549,15.5579522863,38.6078926441,638.712637363
2576,STORM LAKE,50588,Buena Vista,7190,0.33388723456,63.984625075,106662.37,1667,4.80471505699,8009.46,13,15.4525554889,17.8730960851,21.4427774445,1172.11395604
2578,CHARLES CITY,50616,Floyd,11191,0.333943796938,153.778782518,147781.41,961,11.6942559834,11238.18,13,14.4055359001,16.1002267766,51.4140998959,1623.97153846
2579,GRINNELL,50112,Poweshiek,4748,0.333922934709,79.8049054374,67514.95,846,5.4196572104,4585.03,13,14.320177305,16.7339915984,26.6376004728,741.922527473
2582,MASON CITY,50401,Cerro Gordo,13195,0.334005515616,122.373374013,170466.11,1393,9.47020100503,13191.99,13,15.3748743719,18.2504164636,40.8970423546,1873.25395604
2584,FORT MADISON,52627,Lee,6182,0.333712228753,115.531472393,94158.15,815,7.9094601227,6446.21,13,18.6447607362,20.4158387995,38.5492760736,1034.70494505
2585,ALGONA,50511,Kossuth,10240,0.333995353697,112.824216478,139676.38,1238,8.71150242326,10784.84,13,14.9406623586,17.4838023423,37.7662116317,1534.90527473
2587,JOHNSTON,50131,Polk,12547,0.333802918007,57.4880013713,167692.5,2917,3.95207404868,11528.2,14,15.152519712,19.5276204693,19.2096674666,1842.77472527
2588,CEDAR RAPIDS,52403,Linn,11714,0.333833846629,124.738298755,180371.58,1446,8.14766251729,11781.52,13,16.7664937759,20.1224043383,41.6309128631,1982.10527473
2590,CEDAR RAPIDS,52402,Linn,20378,0.333739174986,110.372717873,298889.32,2708,7.04723042836,19083.9,13,16.8633419498,19.4320023169,36.8473522895,3284.49802198
2591,ATLANTIC,50022,Cass,9415,0.333771833003,114.613510274,133868.58,1168,8.53655821918,9970.7,13,14.5685958904,17.6031684198,38.3678767123,1471.0832967
2592,MARSHALLTOWN,50158,Marshall,3120,0.33437080263,87.1688418708,39138.81,449,9.27316258352,4163.65,13,12.9021603563,14.5931925567,29.4287750557,430.096813187
2593,CARROLL,51401,Carroll,23018,0.333711459396,196.931009174,343447.68,1744,13.3052178899,23204.3,13,15.8410149083,18.1812339178,65.6891571101,3774.15032967
2594,SIOUX CITY,51106,Woodbury,12591,0.333813636299,116.447982937,191091.14,1641,7.54589274832,12382.81,13,15.4785679464,18.3834281163,38.8774466789,2099.90263736
2595,DENISON,51442,Crawford,13485,0.333794451377,147.783896,184729.87,1250,11.360296,14200.37,13,14.29236,18.4902355303,49.644264,2029.99857143
2596,OTTUMWA,52501,Wapello,3505,0.333792345397,44.1562707838,37179.58,842,3.64473871734,3068.87,12,11.8931235154,15.3895708541,14.7405938242,408.566813187
2597,CHEROKEE,51012,Cherokee,2868,0.334110980148,120.240299401,40160.26,334,9.45329341317,3157.4,13,15.7202095808,16.0916937553,40.3059281437,441.321538462
2600,OSKALOOSA,52577,Mahaska,3643,0.334008171624,99.9291707317,40970.96,410,8.14365853659,3338.9,13,14.1877317073,15.8083507549,33.3680487805,450.23032967
2601,FAIRFIELD,52556,Jefferson,9844,0.333814734804,132.17061284,135871.39,1028,9.33298638132,9594.31,13,15.6914980545,19.3061978015,44.1782003891,1493.0921978
2602,WEBSTER CITY,50595,Hamilton,7174,0.333748607699,73.2778531965,92843.04,1267,5.51659826361,6989.53,13,13.3478531965,17.4613347755,24.5609629045,1020.25318681
2603,BETTENDORF,52722,Scott,19479,0.333888608935,107.565879141,295483.47,2747,6.94634146341,19081.6,13,16.9576265016,21.3042334066,35.8893738624,3247.0710989
2604,LEMARS,51031,Plymouth,9869,0.333868257037,79.3050425791,130377.49,1644,5.97046836983,9815.45,12,14.1447931873,18.4816748206,26.496593674,1432.71967033
2605,CEDAR RAPIDS,52402,Linn,16265,0.333734814034,120.920846926,192747.83,1594,9.43352572146,15037.04,13,14.477327478,18.377074623,40.4371769134,2118.10802198
2606,HUMBOLDT,50548,Humboldt,7984,0.33389202443,113.244694989,103958.63,918,9.05726579521,8314.57,13,14.6477668845,16.7731935367,37.9489869281,1142.40252747
2607,SHENANDOAH,51601,Page,7959,0.333614954469,110.887635417,106452.13,960,7.98819791667,7668.67,13,14.9773333333,17.6089471593,36.9901041667,1169.80362637
